merchant_id,name,category,region,mdr_bps,onboarded_at
1,Lumen Labs,Fashion,APAC,550,2025-07-21
2,Quill Goods,Fashion,EU,250,2025-04-21
3,Coral Works,Fashion,NA,450,2025-11-28
4,Quill Studio,Fashion,NA,450,2025-11-10
5,Coral Supply,Fashion,LATAM,300,2024-12-02
6,Lumen Mart,Fashion,APAC,250,2025-05-22
7,Lumen House,Fashion,APAC,350,2025-04-22
8,Atlas Mart,Fashion,EU,450,2025-09-12
9,Loop Co,Electronics,NA,600,2025-09-09
10,Loop Store,Electronics,NA,300,2025-08-31
11,Cedar Supply,Electronics,EU,550,2025-09-21
12,Coral Mart,Electronics,NA,300,2025-06-17
13,Vault Collective,Electronics,APAC,350,2024-08-01
14,Quill Labs,Electronics,LATAM,450,2024-11-17
15,Bright Supply,Electronics,EU,500,2025-09-27
16,Atlas Mart,Electronics,EU,550,2024-10-19
17,Pulse Outlet,Travel,NA,250,2024-07-11
18,Peak Studio,Travel,NA,500,2025-02-02
19,Coral Depot,Travel,LATAM,500,2025-08-30
20,Loop Mart,Travel,NA,350,2025-11-09
21,Lumen Collective,Travel,NA,500,2024-09-09
22,Urban Studio,Travel,APAC,250,2024-09-15
23,Nova House,Travel,APAC,400,2025-10-02
24,Atlas Outlet,Travel,LATAM,250,2025-11-13
25,Cedar Mart,Travel,NA,500,2025-02-27
26,Cedar Outlet,Home,NA,600,2024-09-09
27,Loop Depot,Home,APAC,600,2024-09-02
28,Ember Co,Home,LATAM,350,2025-12-28
29,Vault Studio,Home,NA,550,2025-05-10
30,Urban Goods,Home,NA,400,2024-06-19
31,Vivid House,Home,NA,250,2025-07-24
32,Cedar House,Home,NA,600,2024-09-01
33,Ember Outlet,Home,EU,550,2025-12-07
34,Drift Supply,Home,NA,500,2025-10-25
35,Nova Goods,Beauty,EU,550,2025-07-09
36,Bright Depot,Beauty,NA,400,2025-04-30
37,Coral Outlet,Beauty,NA,550,2025-11-30
38,Loop Co,Beauty,NA,550,2025-12-10
39,Quill Mart,Beauty,APAC,600,2024-07-15
40,North Depot,Beauty,APAC,250,2025-10-02
41,Cedar Co,Beauty,EU,400,2025-05-27
42,Vivid Collective,Beauty,EU,250,2024-07-21
43,Vivid Store,Fitness,EU,450,2025-07-06
44,Peak Depot,Fitness,NA,300,2025-06-25
45,Drift Supply,Fitness,LATAM,400,2025-11-11
46,Lumen Collective,Fitness,EU,300,2024-08-27
47,Vivid Collective,Fitness,APAC,400,2025-10-16
48,Urban Store,Fitness,NA,450,2025-04-29
49,Atlas Co,Fitness,NA,250,2025-11-14
50,Pulse Goods,Grocery,APAC,400,2024-09-18
51,North Works,Grocery,EU,500,2025-05-20
52,North Collective,Grocery,NA,600,2024-09-05
53,Vault Goods,Grocery,APAC,300,2024-12-19
54,Coral Outlet,Grocery,EU,300,2025-08-21
55,Vault Works,Grocery,NA,600,2024-11-06
56,Atlas Co,Grocery,NA,600,2025-10-24
